Case,Location,Date,Year,Fatalities,Injured,Total victims,Type of shooting,Place of incident,Age of shooter,Age Group,Race of shooter,Gender of shooter,Prior signs of mental health issues,City,State,State Code,latitude,longitude
Kirkwood City Council shooting,"Kirkwood, Missouri",7/2/2008,2008,6,2,8,Mass,Other,52,35-64,Black,Male,No,Kirkwood,Missouri,MO,38.580093,-90.40691
Westroads Mall shooting,"Omaha, Nebraska",5/12/2007,2007,9,4,13,Spree,Other,19,10-18,White,Male,Yes,Omaha,Nebraska,NE,41.265719,-96.067495
Crandon shooting,"Crandon, Wisconsin",7/10/2007,2007,6,1,7,Mass,Other,20,19-34,White,Male,Unclear,Crandon,Wisconsin,WI,45.571907200000005,-88.9028922
Virginia Tech massacre,"Blacksburg, Virginia",16-04-2007,2007,32,23,55,Mass,School,23,19-34,Asian,Male,Yes,Blacksburg,Virginia,VA,37.2295733,-80.4139393
Trolley Square shooting,"Salt Lake City, Utah",12/2/2007,2007,6,4,10,Mass,Other,18,10-18,White,Male,Unclear,Salt Lake City,Utah,UT,40.7606467,-111.89108999999999
Amish school shooting,"Lancaster County, Pennsylvania",2/10/2006,2006,6,5,11,Mass,School,32,19-34,White,Male,No,Lancaster County,Pennsylvania,PA,39.9589,-76.0806
Capitol Hill massacre,"Seattle, Washington",25-03-2006,2006,7,2,9,Mass,Other,28,19-34,White,Male,No,Seattle,Washington,WA,47.6229,-122.3165
Goleta postal shootings,"Goleta, California",30-01-2006,2006,8,0,8,Mass,Workplace,44,35-64,White,Female,Yes,Goleta,California,CA,34.425571000000005,-119.866069
Red Lake massacre,"Red Lake, Minnesota",21-03-2005,2005,10,5,15,Mass,School,16,10-18,Native American,Male,Yes,Red Lake,Minnesota,MN,47.876346000000005,-95.0169401
Living Church of God shooting,"Brookfield, Wisconsin",12/3/2005,2005,7,4,11,Spree,Religious,44,35-64,White,Male,Yes,Brookfield,Wisconsin,WI,43.0605671,-88.1064787
Damageplan show shooting,"Columbus, Ohio",8/12/2004,2004,5,7,12,Mass,Other,25,19-34,White,Male,Yes,Columbus,Ohio,OH,39.9622601,-83.00070649999999
Lockheed Martin shooting,"Meridian, Mississippi",8/7/2003,2003,7,8,15,Mass,Workplace,48,35-64,White,Male,Yes,Meridian,Mississippi,MS,32.410841999999995,-88.634539
Navistar shooting,"Melrose Park, Illinois",5/2/2001,2001,5,4,9,Mass,Workplace,66,65-72,Black,Male,No,Melrose Park,Illinois,IL,41.908163,-87.879908
Wakefield massacre,"Wakefield, Massachusetts",26-12-2000,2000,7,0,7,Mass,Workplace,42,35-64,White,Male,Yes,Wakefield,Massachusetts,MA,42.500429,-71.075913
Hotel shooting,"Tampa, Florida",30-12-1999,1999,5,3,8,Spree,Workplace,36,35-64,Latino,Male,Yes,Tampa,Florida,FL,27.966479,-82.57058599999999
Xerox killings,"Honolulu, Hawaii",2/11/1999,1999,7,0,7,Spree,Workplace,40,35-64,Asian,Male,Yes,Honolulu,Hawaii,HI,21.320063,-157.876462
Wedgwood Baptist Church shooting,"Fort Worth, Texas",15-09-1999,1999,8,7,15,Mass,Religious,47,35-64,White,Male,Yes,Fort Worth,Texas,TX,32.664511,-97.38424599999999
Atlanta day trading spree killings,"Atlanta, Georgia",29-07-1999,1999,9,13,22,Mass,Workplace,44,35-64,White,Male,Yes,Atlanta,Georgia,GA,33.850116,-84.377839
Columbine High School massacre,"Littleton, Colorado",20-04-1999,1999,13,24,37,Mass,School,17,10-18,White,Male,Yes,Littleton,Colorado,CO,39.604034000000006,-105.07410300000001
Thurston High School shooting,"Springfield, Oregon",21-05-1998,1998,4,25,29,Mass,School,15,10-18,White,Male,Yes,Springfield,Oregon,OR,44.0462362,-123.02202890000001
Westside Middle School killings,"Jonesboro, Arkansas",24-03-1998,1998,5,10,15,Mass,School,11,,White,Male,No,Jonesboro,Arkansas,AR,35.8209895,-90.6682606
Connecticut Lottery shooting,"Newington, Connecticut",6/3/1998,1998,5,1,6,Mass,Workplace,35,19-34,White,Male,Yes,Newington,Connecticut,CT,41.685632500000004,-72.72983827
Caltrans maintenance yard shooting,"Orange, California",18-12-1997,1997,5,2,7,Spree,Workplace,41,35-64,Latino,Male,No,Orange,California,CA,33.787794399999996,-117.8531119
R.E. Phelon Company shooting,"Aiken, South Carolina",15-09-1997,1997,4,3,7,Mass,Workplace,43,35-64,Black,Male,No,Aiken,South Carolina,SC,33.5598586,-81.721952
Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",9/2/1996,1996,6,1,7,Spree,Workplace,41,35-64,Black,Male,Yes,Fort Lauderdale,Florida,FL,26.119269,-80.104119
Walter Rossler Company massacre,"Corpus Christi, Texas",3/4/1995,1995,6,0,6,Mass,Workplace,28,19-34,Unclear,Male,No,Corpus Christi,Texas,TX,27.828025,-97.548198
Air Force base shooting,"Fairchild Air Force Base, Washington",20-06-1994,1994,5,23,28,Mass,Military,20,19-34,White,Male,Yes,Fairchild Air Force Base,Washington,WA,47.61864486,-117.6483587
Chuck E. Cheese's killings,"Aurora, Colorado",14-12-1993,1993,4,1,5,Mass,Workplace,19,10-18,Black,Male,Unclear,Aurora,Colorado,CO,39.675599,-104.84484499999999
